,K,m,cluster mean phase velocity,cluster size,type,$r$\'s temporal std
1873,7.099999999999993,2.2,-0.01160646011787044,488.0,main,0.006298763346453886
1874,7.199999999999992,2.2,-0.01134320076177813,488.0,main,0.006058412214198284
1875,7.299999999999992,2.2,-0.01095080870016736,488.0,main,0.006522912863733729
1876,7.399999999999991,2.2,-0.007410690385973495,489.0,main,0.006082260140583956
1877,7.499999999999991,2.2,-0.007061357577116022,489.0,main,0.006289790426958734
1878,7.599999999999991,2.2,-0.009852848108507182,490.0,main,0.006036847476509307
1879,7.69999999999999,2.2,-0.009459724041936582,490.0,main,0.00606641337302585
1880,7.79999999999999,2.2,-0.008813577082160953,490.0,main,0.006223312705620949
1881,7.89999999999999,2.2,0.003842453813566858,494.0,main,0.004616573315735179
1882,7.999999999999989,2.2,0.003962564516800963,494.0,main,0.004557048982164311
1883,8.099999999999989,2.2,0.004105028570225205,494.0,main,0.004356244052252959
1884,8.199999999999989,2.2,0.004182148941083479,494.0,main,0.004565248178358426
1885,8.299999999999988,2.2,0.001826938098910384,495.0,main,0.003714031361316993
1886,8.399999999999988,2.2,0.007296304596288614,497.0,main,0.002352001311666341
1887,8.499999999999988,2.2,0.007286947501452598,497.0,main,0.002324806453958791
1888,8.599999999999987,2.2,0.007301443344786054,497.0,main,0.002318091197794122
1889,8.699999999999987,2.2,0.007334496187942481,497.0,main,0.002325087445113493
1890,8.799999999999986,2.2,0.007372306590094005,497.0,main,0.002310588497621378
1891,8.899999999999986,2.2,0.007380738252265853,497.0,main,0.002312323531380802
1892,8.999999999999986,2.2,0.007443649623128486,497.0,main,0.002311194537353816
1893,9.099999999999985,2.2,0.007498153936540692,497.0,main,0.002297162276371412
1894,9.199999999999985,2.2,0.007494681841675852,497.0,main,0.002298349086483059
1895,9.299999999999985,2.2,0.007590052368324149,497.0,main,0.002320661812304113
1896,9.399999999999984,2.2,0.007656243993477539,497.0,main,0.002332115570183528
1897,9.499999999999984,2.2,0.007757248117498067,497.0,main,0.002293672817717288
1898,9.599999999999984,2.2,0.01103010443682801,498.0,main,0.001923911578213348
1899,9.699999999999983,2.2,0.01095300919334856,498.0,main,0.001907300414885489
1900,9.799999999999983,2.2,0.01093253501920136,498.0,main,0.001900349408767229
1901,9.899999999999983,2.2,0.01087461379301646,498.0,main,0.001926848250802678
1902,9.999999999999982,2.2,0.01082420427331765,498.0,main,0.0018931941935679
1903,2.4,2.3,0.02119092501360527,357.0,main,0.01583820802589667
1904,2.5,2.3,0.005833951115007481,366.0,main,0.01972769598583509
1905,2.6,2.3,0.01205457745500089,382.0,main,0.02128067850850736
1906,2.7,2.3,0.02595816848608829,388.0,main,0.01827237975107265
1907,2.8,2.3,0.0372562120133413,399.0,main,0.01735350318012469
1908,2.9,2.3,0.02847224069235929,409.0,main,0.01453597030439579
1909,3.0,2.3,0.02609662758555305,410.0,main,0.0137299828623859
1910,3.1,2.3,0.02631317953734517,412.0,main,0.01563178624238213
1911,3.2,2.3,0.03552969657928109,420.0,main,0.01556465324815778
1912,3.3,2.3,0.03503966949747534,428.0,main,0.01227072200008274
1913,3.4,2.3,0.03734209998817885,429.0,main,0.01286026051814884
1914,3.5,2.3,0.04127239767842754,433.0,main,0.01202324046856188
1915,3.6,2.3,0.04032039263709455,437.0,main,0.01226352185933063
1916,3.7,2.3,0.03473844963318334,439.0,main,0.01146022832250384
1917,3.8,2.3,0.02930944395453182,445.0,main,0.01225716336568018
1918,3.9,2.3,0.03105650423677319,446.0,main,0.01298551623874998
1919,4.0,2.3,0.03069862033100561,446.0,main,0.01199950558104974
1920,4.100000000000001,2.3,0.0350059753428209,448.0,main,0.01175219054535842
1921,4.2,2.3,0.02905239021088976,450.0,main,0.01234287269342483
1922,4.3,2.3,0.02042154659720829,455.0,main,0.01056902054400695
1923,4.4,2.3,0.0219517363218444,458.0,main,0.009463972975799909
1924,4.5,2.3,0.01606667930520875,460.0,main,0.009954612772274381
1925,4.600000000000001,2.3,0.01290803429785767,463.0,main,0.008618230162135403
1926,4.7,2.3,0.007233543017938823,465.0,main,0.009547803023145333
1927,4.800000000000001,2.3,-0.000660494881564306,468.0,main,0.008894380971291183
1928,4.9,2.3,0.001897761293257435,469.0,main,0.00855972563687352
1929,5.0,2.3,-0.0005741488680250305,470.0,main,0.008676193772340867
1930,5.1,2.3,-0.0005956173343044764,470.0,main,0.008541124444479083
1931,5.199999999999999,2.3,0.002070961834483442,471.0,main,0.008644354574251452
