,K,m,cluster mean phase velocity,cluster size,type,$r$\'s temporal std
11390,6.099999999999996,8.8,1.117429594390476,54.0,2nd cluster(+),0.158463698936494
11391,6.199999999999996,8.8,0.06845186351461716,335.0,main,0.1307865452408186
11392,6.199999999999996,8.8,-0.9861945268421913,53.0,2nd cluster(-),0.1307865452408186
11393,6.199999999999996,8.8,1.123727423622595,48.0,2nd cluster(+),0.1307865452408186
11394,6.299999999999995,8.8,0.04527600006361328,336.0,main,0.1289695233899034
11395,6.299999999999995,8.8,1.094675511353949,51.0,2nd cluster(+),0.1289695233899034
11396,6.299999999999995,8.8,-1.003808004336232,49.0,2nd cluster(-),0.1289695233899034
11397,6.399999999999995,8.8,0.04719709953329185,341.0,main,0.1293623480551989
11398,6.399999999999995,8.8,-1.561656018839057,12.0,2nd cluster(-),0.1293623480551989
11399,6.499999999999995,8.8,0.001045241308134188,336.0,main,0.1388191586272864
11400,6.499999999999995,8.8,1.072092987654529,59.0,2nd cluster(+),0.1388191586272864
11401,6.499999999999995,8.8,-1.069022325723721,48.0,2nd cluster(-),0.1388191586272864
11402,6.599999999999994,8.8,0.004369756308149301,349.0,main,0.1249750095062695
11403,6.599999999999994,8.8,1.122402582024728,55.0,2nd cluster(+),0.1249750095062695
11404,6.599999999999994,8.8,-1.114988984360824,42.0,2nd cluster(-),0.1249750095062695
11405,6.699999999999994,8.8,-0.01224063126698244,370.0,main,0.09665127442356734
11406,6.699999999999994,8.8,1.154109753662331,46.0,2nd cluster(+),0.09665127442356734
11407,6.699999999999994,8.8,-1.178941761497075,29.0,2nd cluster(-),0.09665127442356734
11408,6.799999999999994,8.8,0.06627148428824164,371.0,main,0.09349862436922665
11409,6.799999999999994,8.8,-1.061214388765076,40.0,2nd cluster(-),0.09349862436922665
11410,6.799999999999994,8.8,1.194775595753873,31.0,2nd cluster(+),0.09349862436922665
11411,6.899999999999993,8.8,0.05947536353915567,350.0,main,0.1277138770187498
11412,6.899999999999993,8.8,-1.048050605124236,52.0,2nd cluster(-),0.1277138770187498
11413,6.899999999999993,8.8,1.162712392821263,46.0,2nd cluster(+),0.1277138770187498
11414,6.999999999999993,8.8,0.001899155073270857,369.0,main,0.1000004798841116
11415,6.999999999999993,8.8,1.160801378207268,45.0,2nd cluster(+),0.1000004798841116
11416,6.999999999999993,8.8,-1.157596560289464,32.0,2nd cluster(-),0.1000004798841116
11417,7.099999999999993,8.8,0.02011127092778885,355.0,main,0.1197104159747449
11418,7.099999999999993,8.8,1.13943881004705,49.0,2nd cluster(+),0.1197104159747449
11419,7.099999999999993,8.8,-1.099457877611733,42.0,2nd cluster(-),0.1197104159747449
11420,7.199999999999992,8.8,0.0332284737681135,354.0,main,0.1209166525286817
11421,7.199999999999992,8.8,1.142904677914295,47.0,2nd cluster(+),0.1209166525286817
11422,7.199999999999992,8.8,-1.075783646052931,45.0,2nd cluster(-),0.1209166525286817
11423,7.299999999999992,8.8,0.01734571958972193,356.0,main,0.1183732932785301
11424,7.299999999999992,8.8,1.13711502752062,49.0,2nd cluster(+),0.1183732932785301
11425,7.299999999999992,8.8,-1.100187057752414,41.0,2nd cluster(-),0.1183732932785301
11426,7.399999999999991,8.8,0.02784799859315042,350.0,main,0.1218821385882796
11427,7.399999999999991,8.8,1.118633130536519,50.0,2nd cluster(+),0.1218821385882796
11428,7.399999999999991,8.8,-1.059814693751724,46.0,2nd cluster(-),0.1218821385882796
11429,7.499999999999991,8.8,0.009453618668955027,376.0,main,0.09165885288046577
11430,7.499999999999991,8.8,1.158106328906094,40.0,2nd cluster(+),0.09165885288046577
11431,7.499999999999991,8.8,-1.141578986093902,30.0,2nd cluster(-),0.09165885288046577
11432,7.599999999999991,8.8,0.002905556009344028,367.0,main,0.1035014109083923
11433,7.599999999999991,8.8,1.145892380820992,46.0,2nd cluster(+),0.1035014109083923
11434,7.599999999999991,8.8,-1.13853644391033,33.0,2nd cluster(-),0.1035014109083923
11435,7.69999999999999,8.8,0.01814221196416098,364.0,main,0.1105472784993461
11436,7.69999999999999,8.8,1.148433684866845,47.0,2nd cluster(+),0.1105472784993461
11437,7.69999999999999,8.8,-1.11355973717488,37.0,2nd cluster(-),0.1105472784993461
11438,7.79999999999999,8.8,0.02563417044627867,374.0,main,0.09437158641091423
11439,7.79999999999999,8.8,1.1656654160706,38.0,2nd cluster(+),0.09437158641091423
11440,7.79999999999999,8.8,-1.107478484401942,34.0,2nd cluster(-),0.09437158641091423
11441,7.89999999999999,8.8,0.04038450675794763,375.0,main,0.09603671118180834
11442,7.89999999999999,8.8,-1.090021024256585,36.0,2nd cluster(-),0.09603671118180834
11443,7.89999999999999,8.8,1.168573684862724,36.0,2nd cluster(+),0.09603671118180834
11444,7.999999999999989,8.8,0.02557911017948976,382.0,main,0.08523006199128728
11445,7.999999999999989,8.8,1.177186315953721,35.0,2nd cluster(+),0.08523006199128728
11446,7.999999999999989,8.8,-1.124731670165038,30.0,2nd cluster(-),0.08523006199128728
11447,8.099999999999989,8.8,0.03862603768421326,399.0,main,0.06204853774199583
11448,8.099999999999989,8.8,1.250281840583857,25.0,2nd cluster(+),0.06204853774199583
11449,8.099999999999989,8.8,-1.169058801952436,24.0,2nd cluster(-),0.06204853774199583
11450,8.199999999999989,8.8,0.02901895287842204,402.0,main,0.05452368978528993
11451,8.199999999999989,8.8,1.227689670927511,23.0,2nd cluster(+),0.05452368978528993
11452,8.199999999999989,8.8,-1.165078512895061,21.0,2nd cluster(-),0.05452368978528993
11453,8.299999999999988,8.8,0.03205424187333992,401.0,main,0.05567733384643293
11454,8.299999999999988,8.8,1.218836115374528,23.0,2nd cluster(+),0.05567733384643293
11455,8.299999999999988,8.8,-1.154907397686646,22.0,2nd cluster(-),0.05567733384643293
11456,8.399999999999988,8.8,0.03729185279083162,399.0,main,0.06146834901106991
11457,8.399999999999988,8.8,1.237244988521547,25.0,2nd cluster(+),0.06146834901106991
11458,8.399999999999988,8.8,-1.161718370265134,24.0,2nd cluster(-),0.06146834901106991
11459,8.499999999999988,8.8,0.01342923604198602,404.0,main,0.0528347750683739
11460,8.499999999999988,8.8,1.197694137501985,25.0,2nd cluster(+),0.0528347750683739
