level_0,level_1,rs,r_mean,r_std
3,7.0,[0.04146344 0.04146344 0.03902286 ... 0.98890536 0.98890536 0.98890536],0.9889053583546624,2.850485454054523e-16
3,7.5,[0.04146344 0.04146344 0.03907321 ... 0.99038558 0.99038558 0.99038558],0.9903855785634867,1.0590852655056278e-16
3,8.0,[0.04146344 0.04146344 0.03912359 ... 0.99158532 0.99158532 0.99158532],0.9915853178483935,8.278423227950804e-17
3,8.5,[0.04146344 0.04146344 0.03917399 ... 0.99257184 0.99257184 0.99257184],0.992571841555734,1.279408604916193e-16
3,9.0,[0.04146344 0.04146344 0.03922441 ... 0.99339323 0.99339323 0.99339323],0.993393229942723,7.54625049913146e-17
3,9.5,[0.04146344 0.04146344 0.03927486 ... 0.99408464 0.99408464 0.99408464],0.9940846386405696,1.4878645486993983e-16
3,10.0,[0.04146344 0.04146344 0.03932533 ... 0.99467228 0.99467228 0.99467228],0.9946722823351942,1.6172714487288203e-16
3,10.5,[0.04146344 0.04146344 0.03937582 ... 0.99517605 0.99517605 0.99517605],0.9951760472350241,2.0782236299505978e-16
3,11.0,[0.04146344 0.04146344 0.03942634 ... 0.99561125 0.99561125 0.99561125],0.9956112494997349,1.4543497867170188e-16
3,11.5,[0.04146344 0.04146344 0.03947687 ... 0.99598985 0.99598985 0.99598985],0.9959898460874179,9.033150053209479e-17
3,12.0,[0.04146344 0.04146344 0.03952743 ... 0.99632129 0.99632129 0.99632129],0.9963212854899356,2.6797573449549534e-16
3,12.5,[0.04146344 0.04146344 0.03957802 ... 0.99661312 0.99661312 0.99661312],0.9966131162750553,1.0090211126635895e-16
3,13.0,[0.04146344 0.04146344 0.03962862 ... 0.99687143 0.99687143 0.99687143],0.9968714294535316,1.2452327962373347e-16
3,13.5,[0.04146344 0.04146344 0.03967925 ... 0.99710118 0.99710118 0.99710118],0.9971011847641864,1.3866681133119837e-16
3,14.0,[0.04146344 0.04146344 0.0397299  ... 0.99730645 0.99730645 0.99730645],0.9973064545432134,1.8100381065038422e-16
