level_0,level_1,rs,r_mean,r_std
4,4.5,[0.04309367 0.04309367 0.04363347 ... 0.28508714 0.27519828 0.2639348 ],0.3429901911382747,0.07484669741436224
4,5.0,[0.04309367 0.04309367 0.04363628 ... 0.40437734 0.39028913 0.37655059],0.29476708741445923,0.19786740400474484
4,5.5,[0.04309367 0.04309367 0.0436391  ... 0.31846427 0.30611717 0.29471803],0.4047095526000551,0.21372804059311043
4,6.0,[0.04309367 0.04309367 0.04364191 ... 0.06595739 0.06349848 0.06193903],0.3391213578690257,0.24306603350576925
4,6.5,[0.04309367 0.04309367 0.04364472 ... 0.15000782 0.1617175  0.17528445],0.33991982516166674,0.21142627320344223
4,7.0,[0.04309367 0.04309367 0.04364754 ... 0.20677765 0.20283456 0.19976711],0.4064046794294704,0.20547589257975277
4,7.5,[0.04309367 0.04309367 0.04365035 ... 0.62372262 0.59386421 0.56421244],0.5702305452981005,0.16751568560022456
4,8.0,[0.04309367 0.04309367 0.04365316 ... 0.7867376  0.80503046 0.82037384],0.5931950833205462,0.14471380564167227
4,8.5,[0.04309367 0.04309367 0.04365597 ... 0.35688833 0.34946367 0.34288078],0.4982990731851729,0.11265616859297539
4,9.0,[0.04309367 0.04309367 0.04365879 ... 0.36418705 0.36485441 0.36652044],0.4819720050497459,0.11880193007424603
4,9.5,[0.04309367 0.04309367 0.0436616  ... 0.60598148 0.62707108 0.64854142],0.5075511407796774,0.1604882206262392
4,10.0,[0.04309367 0.04309367 0.04366441 ... 0.70332135 0.66436784 0.62531765],0.5474294324140649,0.16201505555420634
4,10.5,[0.04309367 0.04309367 0.04366723 ... 0.5088912  0.51753748 0.52487625],0.5968973039870339,0.13319960649681586
4,11.0,[0.04309367 0.04309367 0.04367004 ... 0.60134272 0.61406594 0.62782368],0.5623344695990452,0.1281099385905399
4,11.5,[0.04309367 0.04309367 0.04367285 ... 0.58554665 0.57419544 0.56441164],0.5741674971999428,0.13739581076436055
4,12.0,[0.04309367 0.04309367 0.04367567 ... 0.78673625 0.77462394 0.76214475],0.6829025311113337,0.08361846620329488
4,12.5,[0.04309367 0.04309367 0.04367848 ... 0.59528441 0.60551468 0.61491459],0.6414674672035188,0.11690861035550836
4,13.0,[0.04309367 0.04309367 0.0436813  ... 0.72518711 0.74607562 0.76581901],0.7151426100939577,0.06259472144407172
4,13.5,[0.04309367 0.04309367 0.04368411 ... 0.59981505 0.60654317 0.61440203],0.7046271569348597,0.07756905940928428
4,14.0,[0.04309367 0.04309367 0.04368692 ... 0.75395101 0.75279277 0.75020481],0.7266166064773376,0.05293771162075649
